Question,Answer
What are the indications for Cefepime?,"1 INDICATIONS AND USAGE Cefepime for Injection is a cephalosporin antibacterial indicated for the treatment of the following infections caused by susceptible strains of the designated microorganisms: • Pneumonia. ( 1.1 ) • Empiric therapy for febrile neutropenic patients. ( 1.2 ) • Uncomplicated and complicated urinary tract infections (including pyelonephritis). ( 1.3 ) • Uncomplicated skin and skin structure infections. ( 1.4 ) • Complicated intra-abdominal infections (used in combination with metronidazole) in adults. ( 1.5 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of Cefepime for Injection and other antibacterial drugs, Cefepime for Injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. ( 1.6 ) 1.1 Pneumonia Cefepime for Injection is indicated in the treatment of pneumonia (moderate to severe) caused by susceptible strains of Streptococcus pneumoniae , including cases associated with concurrent bacteremia, Pseudomonas aeruginosa , Klebsiella pneumoniae , or Enterobacter species. 1.2 Empiric Therapy for Febrile Neutropenic Patients Cefepime for Injection as monotherapy is indicated for empiric treatment of febrile neutropenic patients. In patients at high risk for severe infection (including patients with a history of recent bone marrow transplantation, with hypotension at presentation, with an underlying hematologic malignancy, or with severe or prolonged neutropenia), antimicrobial monotherapy may not be appropriate. Insufficient data exist to support the efficacy of cefepime monotherapy in such patients [ see Clinical Studies (14.1) ]. 1.3 Uncomplicated and Complicated Urinary Tract Infections (including pyelonephritis) Cefepime for Injection is indicated in the treatment of uncomplicated and complicated urinary tract infections (including pyelonephritis) caused by susceptible isolates of Escherichia coli or Klebsiella pneumoniae , when the infection is severe, or caused by Escherichia coli , Klebsiella pneumoniae , or Proteus mirabilis , when the infection is mild to moderate, including cases associated with concurrent bacteremia with these bacteria. 1.4 Uncomplicated Skin and Skin Structure Infections Cefepime for Injection is indicated in the treatment of uncomplicated skin and skin structure infections caused by Staphylococcus aureus (methicillin-susceptible isolates only) or Streptococcus pyogenes . 1.5 Complicated Intra-abdominal Infections (used in combination with metronidazole) Cefepime for Injection is indicated in the treatment of complicated intra-abdominal infections (used in combination with metronidazole) in adults caused by susceptible isolates of Escherichia coli , viridans group streptococci, Pseudomonas aeruginosa , Klebsiella pneumoniae , Enterobacter species, or Bacteroides fragilis [ see Clinical Studies (14.2) ]. 1.6 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of Cefepime for Injection and other antibacterial drugs, Cefepime for Injection should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Cefoxitin?,"DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS, DRUG RESISTANCE, NAUSEA, OFF LABEL USE, RASH"
What is the AWARE status of Cefoxitin?,Watch
What are the indications for Cefoxitin?,"INDICATIONS AND USAGE: Treatment: CEFOXITIN FOR INJECTION, USP is indicated for the treatment of serious infections caused by susceptible strains of the designated microorganisms in the diseases listed below. (1) Lower respiratory tract infections , including pneumonia and lung abscess, caused by Streptococcus pneumoniae , other streptococci (excluding enterococci, e.g., Enterococcus faecalis [formerly Streptococcus faecalis ]), Staphylococcus aureus (including penicillinase-producing strains), Escherichia coli, Klebsiella species, Haemophilus influenzae, and Bacteroides species. (2) Urinary tract infections caused by Escherichia coli, Klebsiella species, Proteus mirabilis, Morganella morganii, Proteus vulgaris and Providencia species (including P. rettgeri ). (3) Intra-abdominal infections , including peritonitis and intra-abdominal abscess, caused by Escherichia coli, Klebsiella species, Bacteroides species including Bacteroides fragilis , and Clostridium species. (4) Gynecological infections , including endometritis, pelvic cellulitis, and pelvic inflammatory disease caused by Escherichia coli , Neisseria gonorrhoeae (including penicillinase-producing strains), Bacteroides species including B. fragilis, Clostridium species, Peptococcus niger , Peptostreptococcus species, and Streptococcus agalactiae . CEFOXITIN FOR INJECTION, USP, like cephalosporins, has no activity against Chlamydia trachomatis . Therefore, when CEFOXITIN FOR INJECTION, USP is used in the treatment of patients with pelvic inflammatory disease and C. trachomatis is one of the suspected pathogens, appropriate anti-chlamydial coverage should be added. (5) Septicemia caused by Streptococcus pneumoniae , Staphylococcus aureus (including penicillinase-producing strains), Escherichia coli, Klebsiella species, and Bacteroides species including B. fragilis. (6) Bone and joint infections caused by Staphylococcus aureus (including penicillinase-producing strains). (7) Skin and skin structure infections caused by Staphylococcus aureus (including penicillinase-producing strains), Staphylococcus epidermidis, Streptococcus pyogenes and other streptococci (excluding enterococci e.g., Enterococcus faecalis [formerly Streptococcus faecalis ]), Escherichia coli, Proteus mirabilis, Klebsiella species, Bacteroides species including B. fragilis , Clostridium species, Peptococcus niger , and Peptostreptococcus species. Appropriate culture and susceptibility studies should be performed to determine the susceptibility of the causative organisms to CEFOXITIN FOR INJECTION, USP. Therapy may be started while awaiting the results of these studies. In randomized comparative studies, CEFOXITIN FOR INJECTION, USP and cephalothin were comparably safe and effective in the management of infections caused by gram-positive cocci and gram-negative rods susceptible to the cephalosporins. CEFOXITIN FOR INJECTION, USP has a high degree of stability in the presence of bacterial beta-lactamases, both penicillinases and cephalosporinases. Many infections caused by aerobic and anaerobic gram-negative bacteria resistant to some cephalosporins respond to CEFOXITIN FOR INJECTION, USP. Similarly, many infections caused by aerobic and anaerobic bacteria resistant to some penicillin antibiotics (ampicillin, carbenicillin, penicillin G) respond to treatment with CEFOXITIN FOR INJECTION, USP. Many infections caused by mixtures of susceptible aerobic and anaerobic bacteria respond to treatment with CEFOXITIN FOR INJECTION, USP. Prevention: CEFOXITIN FOR INJECTION, USP is indicated for the prophylaxis of infection in patients undergoing uncontaminated gastrointestinal surgery, vaginal hysterectomy, abdominal hysterectomy, or cesarean section. If there are signs of infection, specimens for culture should be obtained for identification of the causative organism so that appropriate treatment may be instituted. To reduce the development of drug-resistant bacteria and maintain the effectiveness of CEFOXITIN FOR INJECTION, USP and other antibacterial drugs, CEFOXITIN FOR INJECTION, USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Ceftazidime?,"DRUG INEFFECTIVE, OFF LABEL USE, PYREXIA, SEPTIC SHOCK, CONDITION AGGRAVATED"
What is the AWARE status of Ceftazidime?,Reserve
What are the indications for Ceftazidime?,"INDICATIONS AND USAGE Ceftazidime for injection, USP is indicated for the treatment of patients with infections caused by susceptible strains of the designated organisms in the following diseases: Lower Respiratory Tract Infections, including pneumonia, caused by Pseudomonas aeruginosa and other Pseudomonas spp.; Haemophilus influenzae, including ampicillin-resistant strains; Klebsiella spp.; Enterobacter spp.; Proteus mirabilis; Escherichia coli; Serratia spp.; Citrobacter spp.; Streptococcus pneumoniae; and Staphylococcus aureus (methicillin-susceptible strains). Skin and Skin-Structure Infections caused by Pseudomonas aeruginosa; Klebsiella spp.; Escherichia coli; Proteus spp., including Proteus mirabilis and indole-positive Proteus; Enterobacter spp.; Serratia spp.; Staphylococcus aureus (methicillin-susceptible strains); and Streptococcus pyogenes (group A beta-hemolytic streptococci). Urinary Tract Infections, both complicated and uncomplicated, caused by Pseudomonas aeruginosa; Enterobacter spp.; Proteus spp., including Proteus mirabilis and indole-positive Proteus; Klebsiella spp.; and Escherichia coli. Bacterial Septicemia caused by Pseudomonas aeruginosa, Klebsiella spp., Haemophilus influenzae, Escherichia coli, Serratia spp., Streptococcus pneumoniae, and Staphylococcus aureus (methicillin-susceptible strains). Bone and Joint Infections caused by Pseudomonas aeruginosa, Klebsiella spp., Enterobacter spp., and Staphylococcus aureus (methicillin-susceptible strains). Gynecologic Infections, including endometritis, pelvic cellulitis, and other infections of the female genital tract caused by Escherichia coli. Intra-abdominal Infections, including peritonitis caused by Escherichia coli, Klebsiella spp., and Staphylococcus aureus (methicillin-susceptible strains) and polymicrobial infections caused by aerobic and anaerobic organisms and Bacteroides spp. (many strains of Bacteroides fragilis are resistant). Central Nervous System Infections, including meningitis, caused by Haemophilus influenzae and Neisseria meningitidis. Ceftazidime has also been used successfully in a limited number of cases of meningitis due to Pseudomonas aeruginosa and Streptococcus pneumoniae. Ceftazidime for injection, USP may be used alone in cases of confirmed or suspected sepsis. Ceftazidime has been used successfully in clinical trials as empiric therapy in cases where various concomitant therapies with other antibacterial drugs have been used. Ceftazidime for injection, USP may also be used concomitantly with other antibacterial drugs, such as aminoglycosides, vancomycin, and clindamycin; in severe and life-threatening infections; and in the immunocompromised patient. When such concomitant treatment is appropriate, prescribing information in the labeling for the other antibacterial drugs should be followed. The dose depends on the severity of the infection and the patient's condition. To reduce the development of drug-resistant bacteria and maintain the effectiveness of ceftazidime for injection, USP and other antibacterial drugs, ceftazidime for injection, USP should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Ceftriaxone?,"OFF LABEL USE, DRUG INEFFECTIVE, PYREXIA, ACUTE KIDNEY INJURY, DYSPNOEA"
What is the AWARE status of Ceftriaxone?,Watch
What are the indications for Ceftriaxone?,"INDICATIONS AND USAGE Before instituting treatment with ceftriaxone, appropriate specimens should be obtained for isolation of the causative organism and for determination of its susceptibility to the drug. Therapy may be instituted prior to obtaining results of susceptibility testing. To reduce the development of drug-resistant bacteria and maintain the effectiveness of ceftriaxone for injection, USP and other antibacterial drugs, ceftriaxone for injection, USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Ceftriaxone for injection, USP is indicated for the treatment of the following infections when caused by susceptible organisms: Lower Respiratory Tract Infections Caused by Streptococcus pneumoniae , Staphylococcus aureus, Haemophilus influenzae, Haemophilus parainfluenzae, Klebsiella pneumoniae, Escherichia coli, Enterobacter aerogenes, Proteus mirabilis or Serratia marcescens . Acute Bacterial Otitis Media Caused by Streptococcus pneumoniae, Haemophilus influenzae (including beta-lactamase producing strains) or Moraxella catarrhalis (including beta-lactamase producing strains). NOTE: In one study lower clinical cure rates were observed with a single dose of ceftriaxone compared to 10 days of oral therapy. In a second study comparable cure rates were observed between single dose ceftriaxone and the comparator. The potentially lower clinical cure rate of ceftriaxone should be balanced against the potential advantages of parenteral therapy (see CLINICAL STUDIES ). Skin and Skin Structure Infections Caused by Staphylococcus aureus, Staphylococcus epidermidis, Streptococcus pyogenes , Viridans group streptococci, Escherichia coli, Enterobacter cloacae, Klebsiella oxytoca, Klebsiella pneumoniae, Proteus mirabilis, Morganella morganii*, Pseudomonas aeruginosa, Serratia marcescens, Acinetobacter calcoaceticus, Bacteroides fragilis * or Peptostreptococcus species. Urinary Tract Infections (complicated and uncomplicated) Caused by Escherichia coli, Proteus mirabilis, Proteus vulgaris, Morganella morganii or Klebsiella pneumoniae . Uncomplicated Gonorrhea (cervical/urethral and rectal) Caused by Neisseria gonorrhoeae , including both penicillinase- and nonpenicillinase-producing strains, and pharyngeal gonorrhea caused by nonpenicillinase-producing strains of Neisseria gonorrhoeae . Pelvic Inflammatory Disease Caused by Neisseria gonorrhoeae . Ceftriaxone sodium, like other cephalosporins, has no activity against Chlamydia trachomatis . Therefore, when cephalosporins are used in the treatment of patients with pelvic inflammatory disease and Chlamydia trachomatis is one of the suspected pathogens, appropriate antichlamydial coverage should be added. Bacterial Septicemia Caused by Staphylococcus aureus, Streptococcus pneumoniae, Escherichia coli, Haemophilus influenzae or Klebsiella pneumoniae . Bone and Joint Infections Caused by Staphylococcus aureus, Streptococcus pneumoniae, Escherichia coli, Proteus mirabilis, Klebsiella pneumoniae or Enterobacter species. Intra-abdominal Infections Caused by Escherichia coli, Klebsiella pneumoniae, Bacteroides fragilis, Clostridium species (Note: most strains of Clostridium difficile are resistant) or Peptostreptococcus species. Meningitis Caused by Haemophilus influenzae, Neisseria meningitidis or Streptococcus pneumoniae . Ceftriaxone has also been used successfully in a limited number of cases of meningitis and shunt infection caused by Staphylococcus epidermidis * and Escherichia coli* . *Efficacy for this organism in this organ system was studied in fewer than ten infections. Surgical Prophylaxis The preoperative administration of a single 1 g dose of ceftriaxone may reduce the incidence of postoperative infections in patients undergoing surgical procedures classified as contaminated or potentially contaminated (e.g., vaginal or abdominal hysterectomy or cholecystectomy for chronic calculous cholecystitis in high-risk patients, such as those over 70 years of age, with acute cholecystitis not requiring therapeutic antimicrobials, obstructive jaundice or common duct bile stones) and in surgical patients for whom infection at the operative site would present serious risk (e.g., during coronary artery bypass surgery). Although ceftriaxone has been shown to have been as effective as cefazolin in the prevention of infection following coronary artery bypass surgery, no placebo-controlled trials have been conducted to evaluate any cephalosporin antibiotic in the prevention of infection following coronary artery bypass surgery. When administered prior to surgical procedures for which it is indicated, a single 1 g dose of ceftriaxone provides protection from most infections due to susceptible organisms throughout the course of the procedure."
What are the common side effects of Clarithromycin?,"DRUG INTERACTION, DRUG INEFFECTIVE, NAUSEA, DYSPNOEA, DIARRHOEA"
What is the AWARE status of Clarithromycin?,Watch
